1,クボタ,kubota
2,ヤンマー,yanmar
3,イセキ,iseki
4,三菱,mitsubishi
5,アイデック,idec
6,アグリップ,agrip
7,アグリテクノ矢崎,agritecnoyazaki
8,アシストジャパン,assistjapan
9,アタゴ,atago
10,アテックス,atex
11,アメリカンテント,americantent
12,アンテック,antec
13,イーエス・ウォーターネット,es-waternet
14,イシムラ鉄工,ishimura-agri
15,いすゞ車体,isuzubody
16,イワフジ工業,iwafuji
17,インタートラクターサービス,intertractorservice
18,ウインブル山口,winbleyamaguchi
19,ウエダ産業,uedaindustries
20,エクセル,exel
21,エスアイ精工,siseiko
22,エトバス,etobas
23,エフ・イー,fe
24,エム・エス・ケー農業機械,mskagrimachine
25,エムケー精工,mkseiko
26,エルタ,eruta
27,オークラ輸送機,okura
28,オーレック,orec
29,オギハラ工業,ogihara
30,オサダ農機,osada
31,オビトラ,obitora
32,オリオン機械,orion
33,カーツ,kaaz
34,カサハラ工業,kasahara
35,カルイ,karui
36,カンリウ工業,kanryu
37,キャタピラージャパン,catapillar
38,グリーン・シティ,greencity
39,クロスワーク,closswork
40,クロダ農機,kuroda
41,ケツト科学研究所,kett
42,コベルコ建機,kobelco
43,コマツ建機販売,komatsu
44,サークル機工,circle-kiko
45,サークル鉄工,circle-tekko
46,サージミヤワキ,surge-m
47,サカエ農機,sakaenouki
48,ササオカ,sasaoka
49,ササキコーポレーション,sasaki
50,サタケ,satake
51,サンエイ工業,sanei
52,サンエー,san-a
53,サンノー,sanno
54,サンワ,sanwa
55,シージェー・ビート,cjbeet
56,シズオカ製機,sizuoka
57,ジノー,jino
58,ショーシン,shosin
59,ジョーニシ,jonishi
60,シンワ,shinwa
61,スイデン,suiden
62,スガノ農機,sugano
63,スズテック,suzutech
64,スター農機,starnouki
65,スチール,steel
66,ステップ,step
67,スドー農機,sudonouki
68,ストラパック,strapack
69,スピー,spee
70,ダイオーエンジニアリング,daio-eng
71,タイガー,taigar
72,タイガーカワシマ,taigar-kawashima
73,ダイキアクシス,daikiaxis
74,タイショー,taisho
75,ダイシン,daishin
76,タカキタ,takakita
77,タナカマイスター,tanaka-meister
78,タナカ産業,tanakasangyo
79,ちぐさ技研工業,chigusagiken
80,ちぐし号農機製作所,chigushigo
81,チクマスキ,chikumasuki
82,テクノシステム,technosystem
83,デリカ,delica
84,デンヨー,denyo
85,トータル・システム,total-system
86,トミタテクノロジー,tomitatechnologies
87,トヨタ自動織機,toyota-shokki
88,トラパック,torapack
89,ナビック,navic
90,ニコントリンブル,nikon-trimble
91,ニッカリ,nikkari
92,ネポン,nepon
93,ノズルネットワーク,nozzle-network
94,ノブタ農機,nobutanouki
95,ハイテム,hytem
96,ハスクバーナ・ゼノア,hasqvarna-zenoah
97,ハツシン,hatsushin
98,ハンダー油機,hander
99,ビコンジャパン,viconjapan
100,ビック,bic
101,ファームエイジ,farmage
102,フジイコーポレーション,fujii-corp
103,フルタ電機,fulta
104,フルプラ,furupla
105,プレマ,prema
106,ベンハー美蓉,benhar
107,ホクエイ,hokuei
108,ホシザキ電機,hoshizaki
109,ボブキャット,bobcat
110,マキタ,makita
111,マキタ沼津,makita-numazu
112,マキ製作所,maki
113,マサル工業,masaru
114,マツモト,matsumoto
115,マメトラ農機,mametoranouki
116,マルナカ,marunaka
117,マルマス機械,marumasu
118,ミツワ,mitsuwa
119,みのる産業,minoru
120,モノレール綱機,monorail-koki
121,ヤマト農磁,yamato-nouzi
122,ヤマハ発動機,yamaha-motor
123,やまびこ,yamabiko
124,ユニ・ロット,yuniroot
125,ユニキャリア,yunicareer
126,ラジアント,radiant
127,ロールクリエート,roll-create
128,ワイ・エンジニアリング,yeng
129,横崎製作所,yokozaki
130,岡山農栄社,okayamanoeisha
131,岡田製作所,okadass
132,河島農機具製作所,kawashimanoukiguss
133,笠原工業,kasahara-ind
134,鎌倉製作所,kamakurass
135,関西産業,kansaisangyo
136,関東農機,kantonouki
137,丸久製作所,marukyuss
138,丸山製作所,maruyamass
139,岩田兄弟工場,iwatakyodaifactory
140,魚谷鉄工,uotani-tekko
141,共栄社,kyoeisha
142,共立,kyoritsu
143,共和機械,kyowakikai
144,協全商事,kyozenshoji
145,協同サービス,kyodo-service
146,協和テクノ,kyowatecno
147,金子農機,kanekonouki
148,熊谷農機,kumagayanouki
149,啓文社,keibunsha
150,啓文社製作所,keibunshass
151,結城製作所,yukiworks
152,共栄産業,kyoeisangyou
153,共永産業,kyoei-sangyo
154,向井工業,mukai-kogyo
155,工藤農機,kudonouki
156,広洋エンジニアリング,koyo-eng
157,高橋水機,takahashi-suiki
158,合資会社田端農機具製作所,tabatanoukiguss
159,佐藤農機鋳造,satonouki
160,斎藤農機製作所,saitonoukiss
161,細川製作所,hosokawass
162,笹川農機,sasagawanouki
163,三研,sanken
164,三巧技研,sankogiken
165,三州産業,sanshusangyo
166,三菱重工エンジンシステム,mitsubishijuko-eng
167,三陽機器,sanyokiki
168,山田機械工業,yamadakikai
169,山本製作所,yamamotoss
170,山脇協会,sankyo-kyokai
171,寺田ポンプ製作所,teradapompss
172,舎澤高圧コンクリート,aizawakoatsu
173,十勝農機,tokachinouki
174,渋谷鉄工所,shibuyatekkojo
175,初田工業,hatsuda-ind
176,鋤柄農機,sukigaranouki
177,小橋工業,kobashikogyo
178,小倉鐵道,oguratetsudo
179,松元機工,matumototekko
180,松山,matsuyama
181,上田農機,uedanouki
182,新キャタピラー三菱,new-catapillar-mitsubishi
183,新ダイワ工業,shindaiwa-ind
184,新宮商行,shingu-shoko
185,新興和産業,shinkowasangyo
186,新道東農機,shindotonouki
187,正富,masatomi
188,正和電工,seiwadenko
189,清水工業,shimizu-ind
190,西中製作所,nishinakass
191,静岡製機,shizuoka-seiki
192,斉藤農機製作所,saitonoukiss
193,石井製作所,ishiiss
194,石村鉄工,ishiitekko
195,川辺農研産業,kawabenoukensangyo
196,川本製作所,kawamotoss
197,双和産業,sowasangyo
198,倉林機械産業,kurabayashikikaisangyo
199,大紀産業,daikisangyo
200,大橋,oohashi
201,大阪ウィンストン,oosakawinston
202,大晴産業,taiseisangyo
203,大竹製作所,ootakess
204,大島農機,ooshimanouki
205,大平総研,taiheisoken
206,第一,daiichi
207,沢田機工,sawadakiko
208,池上精機,ikegamiseiki
209,池田鉄工所,ikedatekko
210,竹村電機製作所,takemuradenkiss
211,筑水キャニコム,chikusuicanycom
212,中国工業,chugoku-ind
213,中村撰果機,nakamurasenkaki
214,中部エコテック,chubuecoteck
215,仲田コーティング,nakata-coating
216,田端農機具製作所,tabatanoukiguss
217,田中衝機工業所,tanaka-scale
218,田中産業,tanaka-ind
219,渡辺農機,watanabenouki
220,土谷特殊農機具製作所,tuchiyatokushunoukiguss
221,東映エージェンシー,toeiagency
222,東映貿易,touei-boueki
223,東海理化販売,toukairikahanbai
224,東西産業貿易,touzaisangyoboueki
225,東邦貿易,tohoboueki
226,東北海道いすゞ自動車,tohokuhokkaidoisuzujidosha
227,東洋ライス,toyorice
228,東洋精米機製作所,toyoseimaiss
229,東洋農機,toyonouki
230,藤見鉄工所,fujimitekkojo
231,南光,nanko
232,日環エンジニアリング,nikkan-eng
233,日工タナカエンジニアリング,nikko-tanaka-eng
234,日農機,nichinouki
235,日本ヴューテック,japan-vuetech
236,日本オペレーター,japan-operater
237,日本ニューホランド,japan-newholland
238,日本プラントシーダー,japan-plantseader
239,日本車輌製造,nihonsharyoseizo
240,日立建機,hitachikenki
241,日立建機ティエラ,hitachikenki-tierra
242,美善,bizen
243,富士重工業,fuji-jukogyo
244,富士平工業,fuji-heikogyo
245,冨士トレーラー製作所,fuji-tralarss
246,武藤選果機製作所,mutosenkass
247,福栄産業,fukueisangyo
248,複千製作所,hukusenss
249,文明農機,bunmeinouki
250,片山製作所,katayamass
251,片倉機器工業,katakurakiki-ind
252,宝田工業,takarada-ind
253,豊田自動織機,toyotajidosyokki
254,北海道糖業,hokkaidotogyo
255,北川鉄工所,kitagawatekkojo
256,本田技研工業,honda
257,明伸興産,meishinkosan
258,木原製作所,kiharass
259,矢部自動車,yabe-jidosha
260,有光工業,arimitsu-ind
261,落合刃物工業,ochiaihamono-ind
262,緑産,ryokusan
263,林鐵工所,hayashitekkojo
264,和コーポレーション,kaz-corp
265,和泉製作所,izumiss
266,和同産業,wadowangyo
267,國光社,kunimitsusha
268,IHIスター,ihi-star
269,ISEKIアグリ,isekiagri
270,JFEアドバンテック,jfeadvanteck
271,TCM,tcm
272,その他,other
273,メーカー不詳,unknown
274,三菱マヒンドラ農機,mitsubishimahindranouki
275,井関農機,isekinouki
276,IHIアグリテック,ihiagritech
277,工進,koshin
278,イガラシ機械工業,igarashikikai-ind
